Surname,ApproximateNumber,%Frequency,Rank,Percent,Cumulative_percent
QUATTLEBAUM,2487,0.001,9196,1.46425747503441e-05,0.718101150906511
QUAYLE,2487,0.001,13179,1.46425747503441e-05,0.7181157934812614
QUEEN,17409,0.006999999999999999,1814,0.0001024980232524087,0.7182182915045139
QUEENER,2487,0.001,18495,1.46425747503441e-05,0.7182329340792643
QUESADA,4974,0.002,5693,2.92851495006882e-05,0.718262219228765
QUESENBERRY,2487,0.001,9918,1.46425747503441e-05,0.7182768618035154
QUESINBERRY,2487,0.001,17181,1.46425747503441e-05,0.7182915043782657
QUEVEDO,2487,0.001,9293,1.46425747503441e-05,0.7183061469530161
QUICK,22383,0.009000000000000001,1303,0.0001317831727530969,0.7184379301257692
QUIJADA,2487,0.001,12347,1.46425747503441e-05,0.7184525727005195
QUIJANO,2487,0.001,8795,1.46425747503441e-05,0.7184672152752699
QUILES,4974,0.002,6474,2.92851495006882e-05,0.7184965004247706
QUILL,2487,0.001,16040,1.46425747503441e-05,0.718511142999521
QUIMBY,4974,0.002,5115,2.92851495006882e-05,0.7185404281490217
QUIN,2487,0.001,15374,1.46425747503441e-05,0.7185550707237721
QUINCY,2487,0.001,14504,1.46425747503441e-05,0.7185697132985225
QUINN,69636,0.027999999999999997,402,0.0004099920930096348,0.7189797053915321
QUINNEY,2487,0.001,15698,1.46425747503441e-05,0.7189943479662825
QUINONES,24870,0.01,1211,0.000146425747503441,0.7191407737137859
QUINT,2487,0.001,10032,1.46425747503441e-05,0.7191554162885363
QUINTAL,2487,0.001,17597,1.46425747503441e-05,0.7191700588632867
QUINTANA,22383,0.009000000000000001,1353,0.0001317831727530969,0.7193018420360398
QUINTANAR,2487,0.001,16767,1.46425747503441e-05,0.7193164846107901
QUINTERO,22383,0.009000000000000001,1346,0.0001317831727530969,0.7194482677835432
QUINTO,2487,0.001,18032,1.46425747503441e-05,0.7194629103582936
QUINTON,2487,0.001,9093,1.46425747503441e-05,0.7194775529330439
QUIRION,2487,0.001,12539,1.46425747503441e-05,0.7194921955077943
QUIRK,4974,0.002,6203,2.92851495006882e-05,0.719521480657295
QUIROGA,2487,0.001,11167,1.46425747503441e-05,0.7195361232320454
QUIROS,2487,0.001,12972,1.46425747503441e-05,0.7195507658067958
QUISENBERRY,2487,0.001,12346,1.46425747503441e-05,0.7195654083815461
QUIST,2487,0.001,14786,1.46425747503441e-05,0.7195800509562965
QUON,2487,0.001,16039,1.46425747503441e-05,0.7195946935310469
RAAB,2487,0.001,7732,1.46425747503441e-05,0.7196093361057972
RAABE,2487,0.001,13429,1.46425747503441e-05,0.7196239786805476
RAAP,2487,0.001,15074,1.46425747503441e-05,0.719638621255298
RAASCH,2487,0.001,16766,1.46425747503441e-05,0.7196532638300484
